ORIGINAL_SPECIES,CORRECTED_SPECIES,EPILIST,FLORA
Abrodictyum rigidum,Abrodictyum rigidum,Epiphyte,Terrestrial
Pleurothallis bahiensis,Acianthera ochreata,Unclassified ,Rupicolous
Aechmea bahiana,Aechmea bahiana,Epiphyte,Rupicolous
Aechmea emmerichiae,Aechmea emmerichiae,Epiphyte,Rupicolous
Aechmea eurycorymbos,Aechmea eurycorymbus,Epiphyte,Terrestrial
Anthurium acutum,Anthurium acutum,Epiphyte,Terrestrial
Anthurium affine,Anthurium affine,Epiphyte,Rupicolous
Anthurium intermedium,Anthurium intermedium,Epiphyte,Terrestrial
Anthurium itanhaense,Anthurium itanhaense,Epiphyte,Rupicolous; Terrestrial
Anthurium douradense,Anthurium lindmanianum,Epiphyte,Rupicolous
Anthurium minarum,Anthurium minarum,Epiphyte,Rupicolous; Terrestrial
Anthurium parvum,Anthurium parvum,Epiphyte,Terrestrial
Anthurium crassipes,Anthurium sellowianum,Epiphyte,Terrestrial
Anthurium zappiae,Anthurium zappiae,Unclassified ,Terrestrial
Arachniodes denticulata,Arachniodes denticulata,Epiphyte,Rupicolous; Terrestrial
Asplenium abscissum,Asplenium abscissum,Epiphyte,Rupicolous; Terrestrial
Asplenium claussenii,Asplenium claussenii,Epiphyte,Rupicolous; Terrestrial
Asplenium cristatum,Asplenium cristatum,Epiphyte,Rupicolous; Terrestrial
Asplenium dimidiatum,Asplenium dimidiatum,Epiphyte,Terrestrial
Asplenium feei,Asplenium feei,Epiphyte,Rupicolous; Terrestrial
Asplenium flabellulatum,Asplenium flabellulatum,Epiphyte,Terrestrial
Asplenium kunzeanum,Asplenium kunzeanum,Epiphyte,Terrestrial
Asplenium martianum,Asplenium martianum,Epiphyte,Terrestrial
Asplenium monanthes,Asplenium monanthes,Epiphyte,Rupicolous
Asplenium pumilum,Asplenium pumilum,Epiphyte,Rupicolous; Terrestrial
Asplenium sellowianum,Asplenium sellowianum,Epiphyte,Terrestrial
Begonia angulata,Begonia angulata,Epiphyte,Terrestrial
Begonia rivularis,Begonia rivularis,Epiphyte,Rupicolous; Terrestrial
Bifrenaria tyrianthina,Bifrenaria tyrianthina,Epiphyte,Rupicolous
Bulbophyllum bidentatum,Bulbophyllum bidentatum,Epiphyte,Rupicolous
Bulbophyllum filifolium,Bulbophyllum filifolium,Epiphyte,Rupicolous
Bulbophyllum mentosum,Bulbophyllum mentosum,Epiphyte,Rupicolous
Bulbophyllum mucronifolium,Bulbophyllum mucronifolium,Epiphyte,Rupicolous
Polypodium decurrens,Campyloneurum decurrens,Epiphyte,Rupicolous
Catasetum discolor,Catasetum discolor,Epiphyte,Rupicolous; Terrestrial
Catasetum planiceps,Catasetum planiceps,Epiphyte,Rupicolous
Constantia cristinae,Constantia cristinae,Epiphyte,Rupicolous
Constantia microscopica,Constantia microscopica,Epiphyte,Rupicolous
Cyclopogon congestus,Cyclopogon congestus,Unclassified ,Epiphyte; Terrestrial
Cyrtopodium aureum,Cyrtopodium vernum,Epiphyte,Rupicolous; Terrestrial
Dendropanax affinis,Dendropanax affinis,Epiphyte,Terrestrial
Elaphoglossum hieracioides,Elaphoglossum hieracioides,Epiphyte,Rupicolous; Terrestrial
Elaphoglossum horridulum,Elaphoglossum horridulum,Epiphyte,Rupicolous; Terrestrial
Elaphoglossum scalpellum,Elaphoglossum scalpellum,Unclassified ,Rupicolous; Terrestrial
Encyclia alboxanthina,Encyclia alboxanthina,Epiphyte,Rupicolous; Terrestrial
Encyclia chapadensis,Encyclia chapadensis,Epiphyte,Rupicolous
Encyclia duveenii,Encyclia duveenii,Epiphyte,Rupicolous
Encyclia granitica,Encyclia granitica,Epiphyte,Rupicolous
Encyclia seidelii,Encyclia seidelii,Epiphyte,Rupicolous
Epidendrum denticulatum,Epidendrum denticulatum,Epiphyte,Rupicolous; Terrestrial
Epidendrum warasii,Epidendrum warasii,Epiphyte,Rupicolous; Terrestrial
Ficus ernanii,Ficus ernanii,Unclassified ,Terrestrial
Galeandra lagoensis,Galeandra montana,Epiphyte,Terrestrial
Galeandra xerophila,Galeandra xerophila,Epiphyte,Terrestrial
Gomesa fuscans,Gomesa barbaceniae,Epiphyte,Rupicolous; Terrestrial
Oncidium gracile,Gomesa gracilis,Epiphyte,Rupicolous
Oncidium chapadense,Gomesa hydrophila,Epiphyte,Terrestrial
Oncidium spilopterum,Gomesa maculosa,Epiphyte,Rupicolous; Terrestrial
Gomesa adamantina,Gomesa ramosa,Epiphyte,Rupicolous; Terrestrial
Gomesa paranapiacabensis,Gomesa ramosa,Epiphyte,Rupicolous; Terrestrial
Gomesa sincorana,Gomesa sincorana,Epiphyte,Rupicolous; Terrestrial
Hohenbergia conquistensis,Hohenbergia conquistensis,Epiphyte,Terrestrial
Hohenbergia vestita,Hohenbergia vestita,Epiphyte,Terrestrial
Houlletia juruenensis,Houlletia odoratissima,Epiphyte,Terrestrial
Asplenium laetum,Hymenasplenium laetum,Epiphyte,Rupicolous; Terrestrial
