"","SPECIES","GENERA","EPITHET","FAMILY","PHYLUM","EPILIST","FLORA","DATASET_CLASSIFICATION","BIOME","COUNTRY","WWF_ECOREGION"
"1","Abrodictyum cellulosum","Abrodictyum","cellulosum","Hymenophyllaceae","Pteridophyte","Epiphyte","Epiphyte; Rupicolous","All","Cerrado","Brazil","11, 18"
"2","Acianthera aurantiolateritia","Acianthera","aurantiolateritia","Orchidaceae","Angiospermae","Epiphyte","Unknown","All","Chaco","Argentina","25"
"3","Acianthera boliviana","Acianthera","boliviana","Orchidaceae","Angiospermae","Epiphyte","Unknown","All","Chaco","Argentina","10, 25"
"4","Acianthera crepiniana","Acianthera","crepiniana","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Cerrado","Brazil","11"
"5","Acianthera crinita","Acianthera","crinita","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Cerrado; Chaco","Argentina; Brazil","11, 13, 25"
"6","Acianthera cryptophoranthoides","Acianthera","cryptophoranthoides","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Cerrado","Brazil","6"
"7","Acianthera fockei","Acianthera","fockei","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Cerrado","Brazil","11, 12"
"8","Acianthera glumacea","Acianthera","glumacea","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Caatinga","Brazil","7"
"9","Acianthera hamosa","Acianthera","hamosa","Orchidaceae","Angiospermae","Epiphyte","Epiphyte; Rupicolous","All","Caatinga; Cerrado","Brazil","5, 7, 9, 11"
"10","Acianthera herzogii","Acianthera","herzogii","Orchidaceae","Angiospermae","Epiphyte","Unknown","All","Chaco","Argentina","10, 25"
"11","Acianthera hoffmannseggiana","Acianthera","hoffmannseggiana","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Cerrado","Brazil","11"
"12","Acianthera klotzschiana","Acianthera","klotzschiana","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Cerrado","Brazil","11"
"13","Acianthera macropoda","Acianthera","macropoda","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Cerrado","Brazil","11"
"14","Acianthera miqueliana","Acianthera","miqueliana","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Cerrado","Brazil","11"
"15","Acianthera nemorosa","Acianthera","nemorosa","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Cerrado","Brazil","11"
"16","Acianthera pectinata","Acianthera","pectinata","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Chaco","Argentina","10, 13"
"17","Acianthera pubescens","Acianthera","pubescens","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Cerrado; Chaco; Pantanal","Brazil; Paraguay","1, 11, 12, 16, 21"
"18","Acianthera ramosa","Acianthera","ramosa","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Cerrado","Brazil","11"
"19","Acianthera saundersiana","Acianthera","saundersiana","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Caatinga; Cerrado","Brazil","1, 6, 7, 8, 9, 11"
"20","Acianthera tricarinata","Acianthera","tricarinata","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Cerrado","Brazil","11"
"21","Adamantinia miltonioides","Adamantinia","miltonioides","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Caatinga","Brazil","6, 7"
"22","Aechmea aquilega","Aechmea","aquilega","Bromeliaceae","Angiospermae","Epiphyte","Epiphyte; Rupicolous; Terrestrial","All","Caatinga; Cerrado","Brazil","4, 5, 6, 7, 8, 11, 23, 24"
"23","Aechmea bicolor","Aechmea","bicolor","Bromeliaceae","Angiospermae","Epiphyte","Epiphyte","All","Caatinga","Brazil","6, 7"
"24","Aechmea blanchetiana","Aechmea","blanchetiana","Bromeliaceae","Angiospermae","Epiphyte","Terrestrial","All","Caatinga","Brazil","7"
"25","Aechmea bracteata","Aechmea","bracteata","Bromeliaceae","Angiospermae","Epiphyte","Unknown","All","Caatinga","Brazil","8"
"26","Aechmea bromeliifolia","Aechmea","bromeliifolia","Bromeliaceae","Angiospermae","Epiphyte","Epiphyte; Rupicolous; Terrestrial","All","Caatinga; Cerrado; Chaco; Pantanal; Edge","Argentina; Brazil; Paraguay","1, 5, 6, 7, 8, 9, 11, 12, 16, 17, 18, 20, 21"
"27","Aechmea castelnavii","Aechmea","castelnavii","Bromeliaceae","Angiospermae","Epiphyte","Epiphyte; Rupicolous; Terrestrial","All","Caatinga; Cerrado","Brazil","7, 8, 11, 17, 18"
"28","Aechmea costantinii","Aechmea","costantinii","Bromeliaceae","Angiospermae","Epiphyte","Epiphyte","All","Caatinga","Brazil","7, 23, 24"
"29","Aechmea cylindrata","Aechmea","cylindrata","Bromeliaceae","Angiospermae","Epiphyte","Epiphyte; Terrestrial","All","Cerrado","Brazil","11"
"30","Aechmea disjuncta","Aechmea","disjuncta","Bromeliaceae","Angiospermae","Epiphyte","Epiphyte; Rupicolous","All","Caatinga","Brazil","7, 9"
"31","Aechmea distichantha","Aechmea","distichantha","Bromeliaceae","Angiospermae","Epiphyte","Epiphyte; Rupicolous; Terrestrial","All","Caatinga; Cerrado; Chaco; Pantanal; Edge","Argentina; Bolivia; Brazil; Paraguay","1, 3, 6, 7, 11, 13, 14, 16, 20, 21, 22, 25"
"32","Aechmea fasciata","Aechmea","fasciata","Bromeliaceae","Angiospermae","Epiphyte","Epiphyte","All","Caatinga; Cerrado","Brazil","7, 8, 11"
"33","Aechmea fulgens","Aechmea","fulgens","Bromeliaceae","Angiospermae","Epiphyte","Epiphyte; Terrestrial","All","Caatinga","Brazil","7, 8, 24"
"34","Aechmea lamarchei","Aechmea","lamarchei","Bromeliaceae","Angiospermae","Epiphyte","Epiphyte; Rupicolous; Terrestrial","All","Caatinga; Cerrado","Brazil","6, 7, 9, 11"
"35","Aechmea leptantha","Aechmea","leptantha","Bromeliaceae","Angiospermae","Epiphyte","Epiphyte; Rupicolous; Terrestrial","All","Caatinga","Brazil","7, 23, 24"
"36","Aechmea limai","Aechmea","limai","Bromeliaceae","Angiospermae","Epiphyte","Epiphyte","All","Caatinga","Brazil","5"
"37","Aechmea lingulata","Aechmea","lingulata","Bromeliaceae","Angiospermae","Epiphyte","Epiphyte; Rupicolous; Terrestrial","All","Caatinga","Brazil","5, 6, 7, 23, 24"
"38","Aechmea lingulatoides","Aechmea","lingulatoides","Bromeliaceae","Angiospermae","Epiphyte","Epiphyte; Terrestrial","All","Caatinga","Brazil","6, 7"
"39","Aechmea maranguapensis","Aechmea","maranguapensis","Bromeliaceae","Angiospermae","Epiphyte","Epiphyte; Rupicolous","All","Caatinga","Brazil","7, 8"
"40","Aechmea marauensis","Aechmea","marauensis","Bromeliaceae","Angiospermae","Epiphyte","Epiphyte; Terrestrial","All","Caatinga","Brazil","5, 6, 7"
"41","Aechmea mertensii","Aechmea","mertensii","Bromeliaceae","Angiospermae","Epiphyte","Epiphyte","All","Caatinga; Cerrado; Pantanal","Brazil","7, 11, 21, 23, 24"
"42","Aechmea mulfordii","Aechmea","mulfordii","Bromeliaceae","Angiospermae","Unknown","Epiphyte; Terrestrial","All","Caatinga","Brazil","7"
"43","Aechmea multiflora","Aechmea","multiflora","Bromeliaceae","Angiospermae","Epiphyte","Epiphyte; Terrestrial","All","Caatinga","Brazil","5, 6, 7"
"44","Aechmea muricata","Aechmea","muricata","Bromeliaceae","Angiospermae","Epiphyte","Epiphyte; Terrestrial","All","Caatinga","Brazil","7, 23"
"45","Aechmea nudicaulis","Aechmea","nudicaulis","Bromeliaceae","Angiospermae","Epiphyte","Epiphyte; Rupicolous","All","Caatinga; Cerrado; Edge","Brazil","5, 6, 7, 9, 11, 20, 23"
"46","Aechmea patentissima","Aechmea","patentissima","Bromeliaceae","Angiospermae","Unknown","Epiphyte; Terrestrial","All","Caatinga","Brazil","6, 7, 23"
"47","Aechmea perforata","Aechmea","perforata","Bromeliaceae","Angiospermae","Unknown","Epiphyte; Terrestrial","All","Caatinga","Brazil","5"
